"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.851182250E0,-1.464426389E-1,-1.301523692E-1,-1.050463986E-1,2.223057165E-1
1.861206250E0,-1.558891447E-1,-1.372531548E-1,-5.116547585E-2,2.139106352E-1
1.871230250E0,-1.621226238E-1,-9.617069073E-2,-5.508954227E-2,1.963858563E-1
1.881254250E0,-1.415125773E-1,-5.087852374E-2,-4.158715189E-2,1.560253983E-1
1.891278250E0,-1.441281283E-1,-3.275661372E-2,4.467623591E-2,1.544081577E-1
1.901301250E0,-1.657094521E-1,-4.791895553E-2,2.055635440E-1,2.683509259E-1
1.911325250E0,-1.486828534E-1,-8.864232749E-3,3.007983148E-1,3.356557637E-1
1.921349250E0,-1.407163510E-1,9.835294470E-2,3.339151901E-1,3.754647085E-1
1.931373250E0,-2.256022810E-1,1.550293482E-1,4.372887003E-1,5.158991136E-1
1.941397250E0,-3.596298193E-1,8.901925363E-2,6.526925236E-1,7.505102030E-1
1.951421250E0,-4.845484189E-1,-8.923903584E-2,9.233864486E-1,1.046610390E0
1.961445250E0,-5.633779856E-1,-3.105004536E-1,1.063490413E0,1.242906733E0
1.971468250E0,-5.992731288E-1,-5.151861113E-1,1.039886373E0,1.306104392E0
1.981492250E0,-5.685107811E-1,-6.809969211E-1,8.543302470E-1,1.231601188E0
1.991516250E0,-4.668683756E-1,-7.794876409E-1,6.318185484E-1,1.106689541E0
2.001540250E0,-3.921074112E-1,-7.819247603E-1,3.966026044E-1,9.604416581E-1
2.011564250E0,-3.754725212E-1,-6.650970992E-1,1.164905691E-1,7.725955075E-1
2.021588250E0,-3.801967060E-1,-4.114979477E-1,-2.134853518E-1,5.995465717E-1
2.031612250E0,-4.834749066E-1,-1.355913761E-1,-4.853165603E-1,6.983302731E-1
2.041636250E0,-5.719877183E-1,5.446608290E-2,-6.653131539E-1,8.790779810E-1
2.051659250E0,-6.372544856E-1,1.050167240E-1,-7.438775128E-1,9.851271724E-1
2.061683250E0,-6.993933579E-1,2.339003205E-2,-7.328514183E-1,1.013296286E0
2.071707250E0,-7.253572612E-1,-1.088408031E-1,-6.795248115E-1,9.998717149E-1
2.081731250E0,-7.653579904E-1,-2.221083869E-1,-6.777010649E-1,1.046127967E0
2.091755250E0,-8.852406755E-1,-2.383663508E-1,-7.564496112E-1,1.188564506E0
2.101779250E0,-1.009445330E0,-1.831527013E-1,-8.332516193E-1,1.321678118E0
2.111803250E0,-1.113702355E0,3.355738990E-2,-1.087068726E0,1.556655854E0
2.121826250E0,-1.136167357E0,3.767774004E-1,-1.456784663E0,1.885486417E0
2.131850250E0,-1.137429771E0,7.073886944E-1,-1.919308192E0,2.340489091E0
2.141874250E0,-1.100398185E0,9.258820403E-1,-2.399558725E0,2.797501705E0
2.151898250E0,-9.829653369E-1,9.811019754E-1,-2.678988390E0,3.017575307E0
2.161922250E0,-3.067061369E0,3.233627200E-1,5.144534113E0,5.998138055E0
2.171945500E0,-6.208319811E0,-4.182023652E-1,1.453711834E1,1.581284092E1
2.181969500E0,-5.869567219E0,-1.938530767E0,3.242997363E0,6.980455055E0
2.191992500E0,-3.135427014E0,-3.147973385E0,5.934228069E0,7.413211299E0
2.202016500E0,1.375196709E0,-1.742748738E0,-2.060032547E-1,2.229523827E0
2.212040500E0,3.289475419E-1,-3.426699337E-1,-1.347810105E0,1.429063067E0
2.222064500E0,-2.827419758E-2,1.024139968E0,-1.888051901E0,2.148115938E0
2.232088500E0,3.835432137E-1,1.789094062E0,-1.695138223E0,2.494284778E0
2.242112500E0,1.080708563E0,1.915842547E0,-1.103320477E0,2.460833139E0
2.252136500E0,5.615732059E-1,1.308178116E0,-1.160094017E0,1.836440192E0
2.262160500E0,-2.417371427E-1,5.004278120E-1,-7.591311443E-1,9.408214153E-1
2.272183500E0,-7.227650443E-1,-3.112877811E-1,2.573558414E-1,8.279622100E-1
2.282207500E0,-1.219037459E0,-8.666520846E-1,1.003905532E0,1.801378494E0
2.292231500E0,-1.423820839E0,-1.008935453E0,1.195298349E0,2.115172492E0
2.302255500E0,-1.941300009E0,-7.921034472E-1,9.603198016E-1,2.306141304E0
2.312279500E0,-1.918908973E0,-2.035540022E-1,1.092069849E0,2.217264629E0
2.322303500E0,-1.509083914E0,-1.835718736E-1,1.208501362E0,1.942037187E0
2.332327500E0,-1.620090818E0,-6.723149022E-1,1.462235438E0,2.283601117E0
2.342351500E0,-1.588515708E0,-7.782959783E-1,1.643847032E0,2.414820873E0
2.352374500E0,-9.498151325E-1,-6.733641851E-1,1.489119766E0,1.890250192E0
2.362398500E0,-8.210828327E-1,-8.947657898E-1,1.707321482E0,2.095168127E0
2.372422500E0,-1.040415692E0,-1.025079615E0,1.393383889E0,2.018606374E0
2.382446500E0,-1.295755122E0,-1.069470215E0,9.538065881E-1,1.931966584E0
2.392470500E0,-1.732187936E0,-9.966329111E-1,8.806754619E-1,2.183882202E0
2.402494500E0,-2.225359353E0,-8.302834265E-1,6.918361241E-1,2.473910274E0
2.412518500E0,-2.520023646E0,-7.203800382E-1,5.957067293E-1,2.687811951E0
2.422541500E0,-2.554695881E0,-8.746787037E-1,5.850922787E-1,2.762945322E0
2.432565500E0,-2.496797044E0,-1.199756120E0,6.880816269E-1,2.854271632E0
2.442589500E0,-2.334922141E0,-1.418694292E0,5.994027543E-1,2.797112540E0
2.452613500E0,-1.990046638E0,-1.456618895E0,2.914310753E-1,2.483335720E0
2.462637500E0,-1.674507492E0,-1.623068951E0,1.750416631E-1,2.338582422E0
2.472661500E0,-1.532975053E0,-1.771283297E0,2.173258030E-1,2.352591663E0
2.482685500E0,-1.309673688E0,-1.664400872E0,2.432845169E-1,2.131821472E0
2.492708500E0,-7.433500209E-1,-1.450405936E0,3.364920580E-1,1.664173530E0
2.502732500E0,-2.366786250E-1,-1.063828382E0,4.273934573E-1,1.170646303E0
2.512756500E0,-2.843995062E-1,-7.392374548E-1,-1.891170806E-1,8.143220271E-1
2.522780500E0,-5.851612759E-1,-6.031920424E-1,-5.739153260E-1,1.017660631E0
2.532804500E0,-4.249721253E-1,-3.596672049E-1,-1.676823574E-1,5.814457658E-1
2.542828500E0,-1.014646867E-1,4.990402678E-1,-9.187788427E-2,5.174725279E-1
2.552852500E0,-5.593641644E-1,9.073030972E-1,-8.336574161E-1,1.353171041E0
2.562875500E0,-1.132601652E0,1.007966715E0,-9.487791520E-1,1.788565146E0
2.572899500E0,-1.136890512E0,7.871597725E-1,-8.143586808E-1,1.604780547E0
2.582923500E0,-1.313312410E0,2.504067180E-1,-8.514282739E-1,1.585062496E0
2.592947500E0,-1.313293991E0,1.344567239E-1,-1.228305296E0,1.803206483E0
2.602971500E0,-1.288132545E0,3.223353642E-1,-1.470934925E0,1.981624358E0
2.612995500E0,-1.376936840E0,5.761097860E-1,-1.208934640E0,1.920776018E0
2.623019500E0,-1.231263257E0,8.010124111E-1,-1.613998750E0,2.182343249E0
2.633043500E0,-1.045571913E0,1.102855623E0,-1.513301511E0,2.144666085E0
2.643066500E0,-8.958989802E-1,1.291038319E0,-1.366703044E0,2.082616655E0
2.653090500E0,-7.914000271E-1,1.367759635E0,-1.084139271E0,1.916360713E0
2.663114500E0,-6.721820243E-1,1.473523780E0,-6.998088026E-1,1.764322353E0
2.673138500E0,-5.200649549E-1,1.565671221E0,-3.387467444E-1,1.684204051E0
2.683162500E0,-3.631225439E-1,1.550165574E0,8.518808484E-2,1.594405312E0
2.693186500E0,-1.922111347E-1,1.440087939E0,4.465968829E-1,1.519949725E0
2.703210500E0,6.740341298E-2,1.333472148E0,7.493025595E-1,1.531060258E0
2.713233500E0,3.796361773E-1,1.158108595E0,9.221684736E-1,1.528310780E0
2.723257500E0,7.538619259E-1,8.517545485E-1,9.251271647E-1,1.466169801E0
2.733281500E0,1.130844125E0,4.161951622E-1,8.097124833E-1,1.451778617E0
2.743305500E0,1.364369420E0,1.572842538E-2,6.165473753E-1,1.497291542E0
2.753329500E0,1.481417521E0,-2.221971184E-1,3.926317602E-1,1.548589400E0
2.763353500E0,1.465930001E0,-3.655597365E-1,1.050241792E-1,1.514468477E0
2.773377500E0,1.406603274E0,-4.503461176E-1,-2.102243596E-1,1.491823943E0
2.783401500E0,1.295335291E0,-5.084642252E-1,-5.109320426E-1,1.482390279E0
2.793424500E0,1.130361291E0,-5.243546185E-1,-7.047005832E-1,1.431526223E0
2.803448500E0,9.825079384E-1,-5.096520871E-1,-7.614250070E-1,1.343441528E0
2.813472500E0,9.072795622E-1,-4.555977944E-1,-7.437465352E-1,1.258524717E0
