"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.732320125E0,2.148211044E0,4.426421186E0,1.158669168E1,1.258806734E1
1.742344125E0,3.442935593E0,5.086249067E0,1.524431452E1,1.643511059E1
1.752367125E0,4.749250348E0,5.148306736E0,1.659074702E1,1.800870145E1
1.762391125E0,5.582395256E0,5.142402803E0,1.670171782E1,1.834543053E1
1.772414125E0,5.834644724E0,5.663128932E0,1.601112890E1,1.795745965E1
1.782437125E0,5.679384776E0,6.325812008E0,1.458547248E1,1.688215971E1
1.792461125E0,5.201321687E0,6.550194231E0,1.304267878E1,1.549420090E1
1.802484125E0,4.651773755E0,6.021990682E0,1.157705898E1,1.385394043E1
1.812508125E0,4.129292584E0,5.123839062E0,1.025837736E1,1.218766139E1
1.822531125E0,3.838813435E0,4.101410136E0,8.823445496E0,1.045998299E1
1.832554125E0,3.591725597E0,2.970662709E0,6.987049068E0,8.399058541E0
1.842578125E0,2.987796513E0,1.986855227E0,4.863942606E0,6.044208747E0
1.852601125E0,2.202387982E0,1.286665771E0,2.794635791E0,3.783650464E0
1.862625125E0,1.391837885E0,6.816824341E-1,8.065491396E-1,1.747119101E0
1.872648125E0,6.260476390E-1,1.486829996E-2,-1.062053168E0,1.232928888E0
1.882671125E0,-3.399571180E-3,-6.852925050E-1,-2.758936785E0,2.842774975E0
1.892695125E0,-5.019828790E-1,-1.350810311E0,-4.143881972E0,4.387303626E0
1.902718125E0,-9.699162519E-1,-1.937653831E0,-5.159225242E0,5.595788149E0
1.912742125E0,-1.290400972E0,-2.501404358E0,-5.949089352E0,6.581323769E0
1.922765125E0,-1.494912018E0,-2.994535722E0,-6.657843810E0,7.451770952E0
1.932788125E0,-1.723683745E0,-3.353331399E0,-7.279893415E0,8.198339177E0
1.942812125E0,-1.860119021E0,-3.748062894E0,-7.719697587E0,8.780760165E0
1.952835125E0,-1.991173835E0,-4.077838840E0,-8.101817223E0,9.286171718E0
1.962859125E0,-2.152451883E0,-4.371063842E0,-8.464976678E0,9.767040410E0
1.972882125E0,-2.184214105E0,-4.670664062E0,-8.756247540E0,1.016158280E1
1.982905125E0,-2.208918152E0,-4.872204137E0,-8.923038781E0,1.040376440E1
1.992929125E0,-2.312127940E0,-4.948454168E0,-9.044568481E0,1.056585790E1
2.002952125E0,-2.467020683E0,-4.942370725E0,-9.129759489E0,1.067078853E1
2.012976125E0,-2.666950727E0,-4.752847263E0,-9.346990567E0,1.081981589E1
2.022999125E0,-2.842122783E0,-4.441065538E0,-9.566708466E0,1.092349010E1
