"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.832256610E0,-5.947657824E-1,-1.267854571E0,-8.531655312E0,8.645828121E0
2.852207699E0,-4.935331941E-1,-1.555021763E0,-8.153752327E0,8.315367984E0
2.872176976E0,2.189848423E-1,-1.823605895E0,-5.764018536E0,6.049578704E0
2.892128391E0,4.986727238E-2,-1.428141356E0,-3.785361290E0,4.046113514E0
2.912078341E0,1.924025059E0,-2.873191833E-1,-1.771492958E0,2.631085715E0
2.932026988E0,4.087080002E0,7.827534676E-1,4.069328308E0,5.820340094E0
2.951979990E0,4.038400650E0,1.887624741E0,7.288265228E0,8.543454630E0
2.971930794E0,2.206027508E0,5.324668884E0,1.024130344E1,1.175172125E1
2.991879686E0,8.372233510E-1,6.572379589E0,1.729458809E1,1.852025630E1
3.011832117E0,-8.892866373E-1,3.613121033E0,2.225765419E1,2.256653816E1
3.031782840E0,-2.185643196E0,3.711101055E0,1.841076469E1,1.890781753E1
3.051714805E0,3.275821805E-1,5.236526012E0,1.110348320E1,1.228071064E1
3.071684774E0,2.871955395E0,5.993170261E0,3.763643265E0,7.637488343E0
3.091634886E0,5.196613789E0,3.546240330E0,4.698973656E0,7.852449857E0
3.111567137E0,8.640908003E-1,1.333125591E0,-2.929630280E-1,1.615457857E0
3.131536903E0,-1.886688113E0,-1.863778591E0,-2.681221485E0,3.771234722E0
3.151487747E0,-5.058211088E-1,-2.284524918E0,-5.850566387E0,6.301113881E0
3.171438307E0,4.796044528E-1,-2.256696224E0,-7.267028809E0,7.624461029E0
3.191389478E0,7.020336390E-1,-2.354261875E0,-6.429026604E0,6.882425683E0
3.211333934E0,1.659044504E0,-1.670770645E0,-5.756308079E0,6.219243195E0
3.231290435E0,1.147556305E0,-1.713760138E0,-7.472527027E0,7.751936497E0
3.251239652E0,8.463565707E-1,-1.932659864E0,-9.571975708E0,9.801745383E0
3.271192084E0,-1.345247984E0,-3.455395460E0,-8.739151001E0,9.493271835E0
3.291142848E0,-1.647765398E0,-3.989338875E0,-8.226330757E0,9.289912443E0
3.311092065E0,-2.280441523E-1,-3.892112970E0,-7.523087025E0,8.473333812E0
3.331044537E0,4.487999082E-1,-3.758883476E0,-7.183104515E0,8.119582306E0
3.350995423E0,6.668847799E-1,-3.669278860E0,-6.875834465E0,7.822112391E0
3.370945210E0,5.632516742E-2,-3.376931667E0,-6.646680355E0,7.455548253E0
3.390878029E0,-2.010105550E-1,-3.175993443E0,-6.499927521E0,7.237153955E0
3.410828426E0,3.319023848E-1,-2.615668774E0,-6.343118668E0,6.869282114E0
3.430779719E0,1.297942877E0,-1.850987196E0,-2.925460815E0,3.697178694E0
3.450749281E0,5.752812028E-1,4.536800385E-1,2.191515923E0,2.310739293E0
3.470681042E0,2.897719741E-1,3.987183094E0,5.772969246E0,7.022020417E0
3.490650157E0,2.315898180E0,6.827291965E0,9.677627563E0,1.206779910E1
3.510594166E0,7.097225189E0,7.960937977E0,1.823141098E1,2.112182485E1
3.530532600E0,8.986109734E0,6.856049538E0,2.469863510E1,2.716207207E1
3.550484462E0,5.888720989E0,5.420623302E0,1.977777100E1,2.133589505E1
3.570434290E0,2.117612839E0,5.690703392E0,1.199856091E1,1.344744783E1
3.590386437E0,-6.431702375E-1,6.257359505E0,6.888185501E0,9.328200010E0
3.610336264E0,-2.005501986E0,5.524344444E0,4.386741638E0,7.333752242E0
3.630286946E0,-1.000311226E-1,2.727713108E0,3.946085930E0,4.798126634E0
3.650239175E0,1.091100693E0,3.995795250E-1,6.479816437E-1,1.330430280E0
