"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.741416167E0,6.458469543E0,1.558708649E0,6.242169342E0,9.116253594E0
1.751441167E0,6.255641327E0,1.623972931E0,6.209088135E0,8.962316216E0
1.761465167E0,5.961652679E0,1.734443207E0,6.215524750E0,8.785348247E0
1.771490167E0,5.485043793E0,1.700014801E0,6.107748871E0,8.383337760E0
1.781514167E0,5.355862427E0,1.529369659E0,6.318211212E0,8.422827721E0
1.791539167E0,5.524112549E0,1.703307953E0,6.530320129E0,8.721362189E0
1.801563167E0,5.663472748E0,2.019300842E0,6.598129120E0,8.926802750E0
1.811588167E0,5.990841980E0,1.902543640E0,6.514752502E0,9.052726667E0
1.821612167E0,5.838009796E0,2.102527771E0,5.866300964E0,8.539114030E0
1.831637167E0,5.338648224E0,2.241588593E0,4.961582336E0,7.625167772E0
1.841661167E0,4.724325714E0,2.272274780E0,4.088298340E0,6.648057569E0
1.851686167E0,4.117487640E0,2.506837006E0,3.861370239E0,6.176416143E0
1.861710167E0,3.613186340E0,2.724634094E0,3.795956268E0,5.906609050E0
1.871735167E0,3.653901672E0,2.480342102E0,4.054169312E0,5.994946470E0
1.881759167E0,4.428690491E0,1.882036285E0,4.953648834E0,6.906084043E0
1.891784167E0,5.048551483E0,2.095642090E0,5.195545807E0,7.541437799E0
1.901808167E0,5.263654175E0,2.637964325E0,5.172344055E0,7.836967148E0
1.911833167E0,5.463189240E0,2.892884216E0,5.629343719E0,8.360904644E0
1.921857167E0,5.369633789E0,3.257675629E0,5.662574615E0,8.456368535E0
1.931882167E0,5.158722382E0,3.476520538E0,5.225633240E0,8.124398711E0
1.941906167E0,4.950804749E0,3.456312561E0,4.766537933E0,7.692622963E0
1.951931167E0,4.709057465E0,3.901786194E0,4.854255524E0,7.807877714E0
1.961955167E0,5.013674011E0,3.896846466E0,5.037624207E0,8.105553474E0
1.971980167E0,5.405259705E0,3.091371460E0,5.701194305E0,8.442572267E0
