"time","x","y","z","abs"
4.158339808E0,-4.190702915E0,-2.356003761E0,-2.504271507E0,5.420712170E0
4.163329964E0,-3.430958748E0,-5.300102234E-1,-7.656848431E-1,3.555089597E0
4.168320120E0,-2.478545427E0,1.185103416E0,7.060712576E-1,2.836581422E0
4.173310277E0,-1.650401354E0,2.754184723E0,1.713599682E0,3.639475510E0
4.178300433E0,-8.609547615E-1,4.261877060E0,2.099678993E0,4.828404607E0
4.183290589E0,-1.155819893E-1,5.699426174E0,2.155825615E0,6.094620742E0
4.188280693E0,6.233081818E-1,7.084385395E0,1.979836702E0,7.382193636E0
4.193270797E0,1.407566428E0,8.403106689E0,1.712196589E0,8.690515660E0
4.198260902E0,1.982972383E0,9.677731514E0,1.447769046E0,9.984322808E0
4.203251006E0,2.345242977E0,1.098751545E1,1.326839447E0,1.131309698E1
4.208241110E0,2.786766052E0,1.223926735E1,1.227975011E0,1.261244040E1
4.213231214E0,3.290667057E0,1.357435989E1,1.401598454E0,1.403767126E1
4.218221318E0,4.111969948E0,1.484950256E1,1.586732984E0,1.548979486E1
4.223211422E0,4.892454147E0,1.603414726E1,1.915752888E0,1.687305826E1
4.228201527E0,5.707227230E0,1.715527153E1,2.281762838E0,1.822312338E1
4.233191631E0,6.319828033E0,1.812749290E1,2.752467394E0,1.939387280E1
4.238181735E0,6.607163429E0,1.895619583E1,3.192315578E0,2.032689961E1
4.243171839E0,6.614302635E0,1.969196892E1,3.468152046E0,2.106064381E1
4.248161943E0,6.391612053E0,2.027744865E1,3.725492954E0,2.158487726E1
4.253152047E0,6.032927990E0,2.073412895E1,3.652951717E0,2.190078491E1
4.258142152E0,5.575566292E0,2.114298630E1,3.053598404E0,2.207798162E1
4.263132256E0,4.903815269E0,2.111595535E1,1.823477149E0,2.175444882E1
4.268122360E0,3.756277800E0,2.075048447E1,1.436298609E0,2.113658398E1
4.273112464E0,2.371482134E0,2.024158478E1,1.448520780E0,2.043144376E1
4.278102568E0,9.227565527E-1,1.937992859E1,1.535463333E0,1.946254761E1
4.283092672E0,-2.021427155E-1,1.786350250E1,1.227260351E0,1.790675156E1
4.288082777E0,-8.333525658E-1,1.594394684E1,1.160628080E0,1.600784104E1
4.293072881E0,-8.300266266E-1,1.405200958E1,1.058694124E0,1.411625838E1
4.298062985E0,-3.390712738E-1,1.253470707E1,1.177715778E0,1.259447756E1
4.303053089E0,3.099364042E-1,1.129371166E1,1.311309099E0,1.137380830E1
4.308043193E0,1.040437937E0,1.026205158E1,1.299187183E0,1.039615800E1
4.313033297E0,1.768166661E0,9.370574951E0,1.078344345E0,9.596713749E0
4.318023402E0,2.540332794E0,8.607709885E0,6.780214906E-1,9.000315178E0
4.323013506E0,3.269464731E0,7.923876762E0,7.192438841E-2,8.572187334E0
4.328003610E0,3.768262863E0,7.231375694E0,-7.498260736E-1,8.188701886E0
4.332993714E0,4.187813759E0,6.433082104E0,-1.738376975E0,7.870469105E0
4.337983818E0,4.362015724E0,5.510844231E0,-2.942513943E0,7.619381446E0
4.342973922E0,4.339633465E0,4.479703903E0,-4.315579414E0,7.584483592E0
4.347964027E0,4.301547527E0,3.497838020E0,-5.406837463E0,7.744163822E0
4.352954131E0,4.150757313E0,2.732306480E0,-5.830198765E0,7.660646357E0
4.357944235E0,3.902442694E0,2.285027504E0,-5.741850853E0,7.308848123E0
4.362934339E0,3.528707981E0,2.281632423E0,-5.282029629E0,6.749626918E0
4.367924443E0,3.049506426E0,2.646732330E0,-4.578554630E0,6.104739468E0
4.372914547E0,2.632840633E0,3.381820202E0,-3.748491287E0,5.693833911E0
4.377904652E0,2.199396610E0,4.457614422E0,-2.961986065E0,5.786279740E0
4.382894756E0,1.717248082E0,5.703933716E0,-2.232043743E0,6.361275036E0
4.387884860E0,1.150504827E0,6.854993820E0,-1.310618877E0,7.073353057E0
4.392874964E0,5.428918600E-1,7.841473579E0,-7.099588513E-1,7.892241826E0
4.397865068E0,4.637241364E-4,8.747276306E0,-2.231730223E-1,8.750122810E0
4.402855224E0,-4.567828178E-1,9.503068924E0,1.055376530E-1,9.514625989E0
4.407845381E0,-6.465733051E-1,1.008754730E1,1.957142353E-2,1.010826645E1
4.412835537E0,-9.490492344E-1,1.079517269E1,6.374160051E-1,1.085553992E1
4.417825693E0,-1.242995143E0,1.125960732E1,8.010398149E-1,1.135629599E1
4.422815849E0,-1.407917500E0,1.168687630E1,1.059794426E0,1.181898784E1
4.427806006E0,-1.410176039E0,1.205788612E1,1.330031514E0,1.221270642E1
4.432796162E0,-1.326668262E0,1.234162426E1,1.498913169E0,1.250289881E1
4.437786318E0,-1.179622173E0,1.253108215E1,1.637725115E0,1.269258334E1
4.442776474E0,-9.482878447E-1,1.261924839E1,1.724133849E0,1.277173901E1
4.447766631E0,-6.602005959E-1,1.258241463E1,1.762051702E0,1.272233661E1
4.452756787E0,-3.619884253E-1,1.243518829E1,1.803512096E0,1.257050514E1
4.457746943E0,-7.624554634E-2,1.214907932E1,1.630175352E0,1.225819781E1
4.462737099E0,1.650458574E-1,1.174589252E1,1.342832446E0,1.182355405E1
4.467727256E0,3.781780601E-1,1.130000877E1,1.013789415E0,1.135169529E1
4.472717412E0,5.462809801E-1,1.083785057E1,6.032111645E-1,1.086836196E1
4.477707568E0,6.695889235E-1,1.043602467E1,2.222400308E-1,1.045984468E1
4.482697724E0,7.939738631E-1,1.010163593E1,-1.809493899E-1,1.013440604E1
4.487687881E0,9.388249516E-1,9.872917175E0,-5.886446238E-1,9.934907565E0
4.492678037E0,1.164153218E0,9.733012199E0,-9.332507849E-1,9.846711950E0
4.497668193E0,1.364601612E0,9.674667358E0,-1.238380671E0,9.848599532E0
4.502658349E0,1.559344530E0,9.661920547E0,-1.444036245E0,9.892901733E0
4.507648506E0,1.803309917E0,9.677993774E0,-1.590934873E0,9.972289803E0
4.512638662E0,1.967213035E0,9.698936462E0,-1.662383556E0,1.003507921E1
4.517628818E0,2.146828175E0,9.707998276E0,-1.723097682E0,1.009074662E1
4.522618974E0,2.289446115E0,9.698026657E0,-1.773089528E0,1.012112301E1
4.527609131E0,2.371161222E0,9.657078743E0,-1.743060350E0,1.009553539E1
4.532599287E0,2.427950859E0,9.604328156E0,-1.704917073E0,1.005210460E1
4.537589443E0,2.457574606E0,9.518239975E0,-1.663482428E0,9.970142374E0
4.542579599E0,2.426725149E0,9.446668625E0,-1.606991649E0,9.884885696E0
4.547569756E0,2.385774612E0,9.360884666E0,-1.535408497E0,9.781388526E0
4.552559912E0,2.299002171E0,9.280019760E0,-1.432098389E0,9.667216948E0
4.557550068E0,2.140357256E0,9.170548439E0,-1.258860230E0,9.500779807E0
4.562540224E0,1.943522215E0,9.034873009E0,-1.128376961E0,9.310179561E0
4.567530381E0,1.744696140E0,8.875412941E0,-1.085926414E0,9.110222592E0
4.572520537E0,1.575060010E0,8.680227280E0,-1.124268055E0,8.893319871E0
4.577510693E0,1.444288611E0,8.425451279E0,-1.219208837E0,8.634851998E0
4.582500849E0,1.400154948E0,8.159039497E0,-1.284391165E0,8.377351614E0
4.587491006E0,1.370903492E0,7.878622055E0,-1.329324007E0,8.106735729E0
4.592481162E0,1.392550230E0,7.603356838E0,-1.334880829E0,7.844242359E0
4.597471318E0,1.400650501E0,7.373910904E0,-1.317786574E0,7.620560695E0
4.602461474E0,1.443465114E0,7.159105301E0,-1.282845259E0,7.414989697E0
4.607451631E0,1.492556572E0,7.016339779E0,-1.258721113E0,7.282934014E0
4.612441787E0,1.543531179E0,6.897685051E0,-1.178231001E0,7.165806016E0
4.617431943E0,1.561134577E0,6.851022243E0,-9.474785328E-1,7.090230075E0
4.622422099E0,1.424009562E0,6.804615021E0,-4.794148207E-1,6.968531221E0
4.627412256E0,1.170994043E0,6.768039703E0,-1.378862858E-1,6.869978246E0
4.632402412E0,1.058303118E0,6.700546265E0,2.992707491E-1,6.790205351E0
4.637392568E0,1.222389936E0,6.479976654E0,3.402924538E-2,6.594353083E0
4.642382724E0,1.584042668E0,6.261667252E0,8.494632244E-1,6.514541865E0
4.647372881E0,2.087546349E0,6.002176762E0,2.521196127E0,6.836695514E0
4.652363037E0,2.869579315E0,5.402041435E0,4.383701324E0,7.525514894E0
4.657353193E0,4.197641850E0,4.185560703E0,5.961169243E0,8.406821887E0
4.662343349E0,5.756355286E0,2.107996464E0,6.430347919E0,8.884179739E0
4.667333506E0,6.099226952E0,-9.495544434E-1,5.506395817E0,8.271796536E0
4.672323662E0,4.621596336E0,-4.871540070E0,3.957055569E0,7.794186559E0
4.677313766E0,1.420887470E0,-1.014223289E1,2.481054306E0,1.053752532E1
4.682303870E0,-3.405886650E0,-1.662659264E1,1.781467557E0,1.706508931E1
4.687293974E0,-8.229509354E0,-2.413389587E1,2.410471439E0,2.561210899E1
4.692284079E0,-1.174711132E1,-3.258773422E1,4.073108673E0,3.487900888E1
4.697274183E0,-1.397566414E1,-4.123316574E1,6.741320610E0,4.405608413E1
4.702264287E0,-1.372394180E1,-4.751874542E1,9.135280609E0,5.029742635E1
4.707254391E0,-8.192666054E0,-4.723160172E1,1.166723251E1,4.933627765E1
4.712244495E0,2.970889330E0,-3.856986618E1,1.357145405E1,4.099567203E1
4.717234599E0,1.147226524E1,-2.837193108E1,1.482680511E1,3.400608023E1
4.722224704E0,1.508571529E1,-2.198543549E1,1.392905521E1,3.008249921E1
4.727214808E0,1.533720589E1,-1.835153580E1,1.251747417E1,2.699436812E1
4.732204912E0,1.152113247E1,-1.693343735E1,9.724107742E0,2.267236347E1
4.737195016E0,4.213074684E0,-1.732744217E1,6.643434525E0,1.902959465E1
4.742185120E0,-2.972160816E0,-1.825175095E1,4.138838768E0,1.894967385E1
4.747175224E0,-7.526644230E0,-1.916747284E1,1.406091452E0,2.064023938E1
4.752165329E0,-9.941975594E0,-2.107723999E1,-1.074915290E0,2.332913130E1
4.757155433E0,-1.236777401E1,-2.389904785E1,-2.351741552E0,2.701216412E1
4.762145537E0,-1.378578377E1,-2.669011688E1,-2.311865091E0,3.012897100E1
4.767135641E0,-1.300903702E1,-2.823029137E1,-6.765749454E-1,3.109086921E1
4.772125745E0,-9.483029366E0,-2.787018585E1,2.362465858E0,2.953398636E1
4.777115849E0,-4.973382950E0,-2.671847153E1,5.784829617E0,2.778624682E1
4.782105954E0,-1.739893436E0,-2.634374237E1,8.987613678E0,2.788901560E1
4.787096058E0,2.202275097E-1,-2.646912384E1,1.110159302E1,2.870380436E1
4.792086162E0,1.212689877E0,-2.649150085E1,1.188458920E1,2.906051780E1
4.797076266E0,1.612866521E0,-2.586994934E1,1.196833420E1,2.854989739E1
4.802066370E0,1.346705437E0,-2.437992287E1,1.171393013E1,2.708155117E1
4.807056474E0,6.617000699E-1,-2.236410713E1,1.095601559E1,2.491235461E1
4.812046579E0,1.486619413E-1,-2.044691086E1,9.728926659E0,2.264398989E1
4.817036683E0,1.116036624E-2,-1.895767593E1,8.294481277E0,2.069280119E1
4.822026787E0,4.695108160E-2,-1.798136902E1,6.904502869E0,1.926146402E1
4.827016891E0,4.694622010E-2,-1.745711327E1,5.800201893E0,1.839552526E1
4.832006995E0,-2.660803497E-3,-1.722638130E1,5.149464607E0,1.797957746E1
