"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.319928208E0,-4.960684204E-1,2.736908569E0,8.695717163E0,9.129745307E0
2.329952208E0,-4.731660461E-1,2.729274445E0,9.125772858E0,9.536904915E0
2.339976208E0,-4.608915710E-1,2.685415649E0,9.380992126E0,9.768668872E0
2.350001208E0,-4.185296631E-1,2.500849457E0,9.694440308E0,1.002055827E1
2.360025208E0,-4.390370178E-1,2.399360504E0,9.853559418E0,1.015097619E1
2.370049208E0,-4.725672913E-1,2.476300507E0,9.921368408E0,1.023664667E1
2.380073208E0,-5.845344543E-1,2.541714478E0,9.932145996E0,1.026886153E1
2.390097208E0,-6.595285034E-1,2.650987244E0,9.796677704E0,1.017042798E1
2.400122708E0,-6.924600220E-1,2.837798767E0,9.591005402E0,1.002596566E1
2.410146708E0,-7.068301392E-1,3.022664337E0,9.499545593E0,9.993871873E0
2.420170708E0,-6.987469482E-1,3.064577179E0,9.348210297E0,9.862500511E0
2.430194708E0,-7.089257812E-1,3.047512665E0,9.240584106E0,9.755936851E0
2.440218708E0,-7.723937988E-1,3.000360718E0,9.285041656E0,9.788296848E0
2.450243708E0,-8.045768738E-1,3.032992859E0,9.207951965E0,9.727937552E0
2.460267708E0,-7.176077271E-1,3.088826752E0,9.194779358E0,9.726241771E0
2.470291708E0,-6.108796692E-1,3.064128113E0,9.239236908E0,9.753232987E0
2.480315708E0,-5.074447632E-1,3.035986633E0,9.292376404E0,9.788920995E0
2.490339708E0,-4.954696655E-1,3.011737061E0,9.377998352E0,9.862195668E0
2.500364708E0,-6.021977234E-1,3.016227722E0,9.466464386E0,9.953603355E0
2.510388708E0,-6.863227844E-1,2.929557953E0,9.474697266E0,9.940987730E0
2.520412708E0,-7.458988953E-1,2.745889893E0,9.361382904E0,9.784261155E0
2.530436708E0,-6.956034851E-1,2.525248718E0,9.222172394E0,9.586929068E0
2.540460708E0,-6.532415771E-1,2.372566223E0,9.194779358E0,9.518390751E0
2.550485708E0,-6.274951172E-1,2.241289215E0,9.364226990E0,9.649138541E0
2.560509708E0,-6.628216553E-1,2.178719330E0,9.576335907E0,9.843391685E0
2.570533708E0,-7.430548096E-1,2.106120300E0,9.877210236E0,1.012655693E1
2.580557708E0,-7.753875732E-1,1.937421112E0,1.017015106E1,1.038204214E1
2.590581708E0,-7.318281555E-1,1.725312195E0,1.042806473E1,1.059513136E1
2.600606708E0,-6.749464417E-1,1.517394562E0,1.047821045E1,1.060900246E1
2.610630708E0,-6.251000977E-1,1.316362610E0,1.054826477E1,1.064844826E1
2.620654708E0,-6.069877625E-1,1.152752838E0,1.067834427E1,1.075752339E1
2.630678708E0,-6.080355835E-1,9.358538818E-1,1.074495575E1,1.080275908E1
2.640703708E0,-5.914201355E-1,7.400610352E-1,1.076097244E1,1.080259210E1
2.650727708E0,-5.771997070E-1,7.890092468E-1,1.053239777E1,1.057766977E1
2.660751708E0,-6.230044556E-1,9.824070740E-1,1.016341507E1,1.022977341E1
2.670775708E0,-7.605683899E-1,1.188528442E0,9.818532257E0,9.919407231E0
2.680799708E0,-8.991801453E-1,1.399589539E0,9.273365936E0,9.421395417E0
2.690824708E0,-1.087338867E0,1.540746002E0,8.787626038E0,8.987690217E0
2.700848708E0,-1.330133972E0,1.661095734E0,8.551566925E0,8.812365874E0
2.710872708E0,-1.589245148E0,1.820065155E0,8.418343964E0,8.758244824E0
2.720896708E0,-1.831441498E0,1.911225586E0,8.346343689E0,8.756050147E0
2.730920708E0,-1.929487610E0,1.836081848E0,8.150550842E0,8.574706877E0
2.740945708E0,-1.967807922E0,1.749861145E0,8.236771545E0,8.647467117E0
2.750969708E0,-1.818119202E0,1.775757294E0,8.271649017E0,8.653268103E0
2.760993708E0,-1.440304871E0,1.679657135E0,8.162675629E0,8.457245393E0
2.771017708E0,-1.277742920E0,1.308129730E0,8.180189209E0,8.382083623E0
2.781041708E0,-1.437161407E0,1.233135681E0,8.394244080E0,8.605195535E0
2.791066708E0,-1.293310547E0,1.603016510E0,8.397237854E0,8.646150454E0
2.801090708E0,-1.473984833E0,1.454225922E0,8.528215485E0,8.775982205E0
2.811114708E0,-1.506916351E0,1.197360077E0,8.514743500E0,8.729566135E0
2.821138708E0,-9.689350891E-1,1.275796967E0,8.152347107E0,8.308264347E0
2.831162708E0,-1.323397980E0,1.320254517E0,8.019573212E0,8.234561840E0
2.841187708E0,-2.167193298E0,1.116528168E0,8.250842285E0,8.603473738E0
2.851211708E0,-2.625689850E0,8.009843445E-1,8.527467041E0,8.958432745E0
2.861235708E0,-2.049238586E0,8.867559814E-1,9.002129974E0,9.274915581E0
2.871259708E0,-2.043251038E0,1.840572510E0,8.282725983E0,8.727320990E0
2.881284708E0,-1.941013641E0,1.906585236E0,7.779023438E0,8.241104711E0
2.891308708E0,-9.445358276E-1,9.165440369E-1,7.873477020E0,7.982721421E0
2.901332708E0,-5.887257385E-1,6.330335999E-1,8.300538940E0,8.345434455E0
2.911356708E0,1.676513672E-1,8.126600647E-1,7.948770447E0,7.991963149E0
2.921380708E0,6.828799438E-1,8.428971863E-1,8.940907288E0,9.006476770E0
2.931405708E0,1.538201294E0,6.087840271E-1,9.951755219E0,1.008831567E1
2.941429708E0,4.351451111E-1,7.631130981E-1,9.257049866E0,9.298637808E0
2.951453708E0,-1.656156006E0,1.896256714E0,7.665409698E0,8.068280367E0
2.961477708E0,-2.257754974E0,1.110540619E0,9.048084412E0,9.391410411E0
2.971501708E0,-1.004860382E0,-5.746549988E-1,8.195457458E0,8.276804680E0
2.981526708E0,-3.010240173E-1,1.190025330E-1,8.416996765E0,8.423218601E0
2.991550708E0,-1.614243164E0,1.604214020E0,1.169428162E1,1.191366888E1
3.001574708E0,-1.494043121E0,2.091750183E0,1.569725739E1,1.590633437E1
3.011598708E0,1.242416382E-2,3.519780579E0,1.919278839E1,1.951287103E1
3.021622708E0,1.447639618E0,4.309538269E0,2.181952606E1,2.228810217E1
3.031647708E0,2.859653320E0,3.889811096E0,2.334021378E1,2.383429937E1
3.041671708E0,2.983146515E0,3.998036041E0,2.295326843E1,2.348906101E1
3.051695708E0,1.018032990E0,5.222639465E0,2.339829300E1,2.399567606E1
3.061719708E0,-5.837860107E-1,6.227050781E0,2.311343536E1,2.394468337E1
3.071743708E0,6.691085815E-1,5.593418427E0,2.336820557E1,2.403761776E1
3.081768708E0,2.058519287E0,5.847140808E0,2.463157837E1,2.539963012E1
3.091792708E0,2.085014191E0,5.928122406E0,2.482841904E1,2.561133170E1
3.101816708E0,1.054856415E0,5.942043457E0,2.356459717E1,2.432510724E1
3.111840708E0,6.909631348E-1,6.606511688E0,2.179587524E1,2.278560081E1
3.121865708E0,6.054908752E-1,7.380252686E0,1.939337128E1,2.075903655E1
3.131889708E0,3.031196594E-1,7.525151367E0,1.670885376E1,1.832772704E1
3.141913708E0,6.152206421E-2,7.474706268E0,1.495884293E1,1.672249983E1
3.151937708E0,-2.347119141E-1,7.264393616E0,1.325748093E1,1.511910397E1
3.161961708E0,9.639953613E-2,6.875053253E0,1.204126007E1,1.386605907E1
3.171986708E0,6.548881531E-1,6.514752502E0,1.135628448E1,1.310862601E1
3.182010708E0,1.013991394E0,5.745651855E0,1.045875092E1,1.197606632E1
3.192034708E0,1.673669586E0,4.488116913E0,9.641899567E0,1.076617809E1
3.202058708E0,2.408042450E0,3.407813416E0,9.049730988E0,9.965414776E0
3.212082708E0,2.751428375E0,2.141147461E0,8.825197906E0,9.488887640E0
3.222107708E0,3.043321381E0,7.214996338E-1,8.196654968E0,8.773113439E0
3.232131708E0,3.171454926E0,-1.926493835E-1,6.476132812E0,7.213566132E0
3.242155708E0,3.277733917E0,-5.399272156E-1,5.128335571E0,6.110228045E0
3.252179708E0,3.126099243E0,-4.683760071E-1,3.393143921E0,4.637380535E0
3.262204708E0,2.555036774E0,-4.188290405E-1,1.753753052E0,3.127184108E0
3.272228708E0,1.655108185E0,-2.495310974E-1,4.607418823E-1,1.736067958E0
3.282252708E0,9.078620911E-1,1.841171265E-2,-9.580078125E-3,9.080993037E-1
3.292276708E0,3.564088440E-1,4.138893127E-1,-5.203179932E-1,7.543622746E-1
