"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.298629042E0,1.026849655E1,-3.804039459E0,4.173321533E0,1.171876061E1
1.308653042E0,1.060125458E1,-3.911366272E0,4.391268311E0,1.212306158E1
1.318677042E0,1.089494385E1,-3.771407318E0,4.314777374E0,1.231018352E1
1.328702042E0,1.108789261E1,-3.789519653E0,3.990551605E0,1.237846209E1
1.338726042E0,1.131811386E1,-4.022435303E0,3.718567200E0,1.257407767E1
1.348750042E0,1.163275955E1,-4.105213165E0,3.626658325E0,1.285793609E1
1.358774042E0,1.195758408E1,-4.138294373E0,3.651207275E0,1.316968533E1
1.368798042E0,1.228839615E1,-4.459975433E0,3.719315643E0,1.359151830E1
1.378822042E0,1.266845581E1,-4.969964905E0,3.702849884E0,1.410324151E1
1.388846042E0,1.306977127E1,-5.411396942E0,3.672163696E0,1.461461338E1
1.398870042E0,1.341645035E1,-5.672753448E0,3.723955994E0,1.503492999E1
1.408895042E0,1.357212662E1,-5.717210999E0,3.761378174E0,1.519990422E1
1.418919042E0,1.355670868E1,-5.638325043E0,3.636986847E0,1.512622666E1
1.428943042E0,1.353186035E1,-5.620811462E0,3.426374817E0,1.504808328E1
1.438967042E0,1.349264191E1,-5.623505859E0,3.201841736E0,1.496419040E1
1.448991042E0,1.328756836E1,-5.471871185E0,3.094514923E0,1.469955339E1
1.459015042E0,1.299477722E1,-5.192701721E0,3.002156982E0,1.431227909E1
1.469039042E0,1.262040573E1,-4.954546967E0,2.826422424E0,1.384957906E1
1.479064042E0,1.228375580E1,-4.726870422E0,2.763253784E0,1.344877437E1
1.489088042E0,1.189097260E1,-4.486170959E0,2.690954132E0,1.299085037E1
1.499112042E0,1.141810593E1,-4.264481964E0,2.620301056E0,1.246695340E1
1.509136042E0,1.097966766E1,-4.042493591E0,2.657723236E0,1.199826443E1
1.519160042E0,1.066142944E1,-3.877686310E0,2.720293121E0,1.166629862E1
1.529184042E0,1.034349060E1,-3.727099457E0,2.693199463E0,1.131955792E1
