"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.523931083E0,1.676375239E0,-5.090730958E0,-1.243303755E1,1.353906195E1
1.533913083E0,1.227933706E0,-5.919386081E0,-1.339060215E1,1.469201071E1
1.543894083E0,9.989870001E-1,-6.553890840E0,-1.338080923E1,1.493310135E1
1.553876083E0,1.368779536E0,-6.893355623E0,-1.286309325E1,1.465779919E1
1.563857083E0,1.573027895E0,-7.295514252E0,-1.213427173E1,1.424568339E1
1.573839083E0,2.258698423E0,-7.272588488E0,-1.194108908E1,1.416269290E1
1.583820083E0,3.661307171E0,-7.129703003E0,-1.255007542E1,1.489101166E1
1.593801083E0,4.473973668E0,-7.498201550E0,-1.295880749E1,1.562594504E1
1.603783083E0,4.879848787E0,-7.428489876E0,-1.301133186E1,1.575722510E1
1.613764083E0,4.879828029E0,-6.850822976E0,-1.284383720E1,1.535287110E1
1.623746083E0,4.584835122E0,-6.581266335E0,-1.268754814E1,1.501025174E1
1.633727083E0,4.186140092E0,-6.163050082E0,-1.241703489E1,1.448066679E1
1.643709083E0,3.133602975E0,-5.833122109E0,-1.216338969E1,1.384892884E1
1.653690083E0,1.974050410E0,-5.189010959E0,-1.138217362E1,1.266398776E1
1.663672083E0,9.372329476E-1,-4.437093524E0,-1.014994308E1,1.111699371E1
1.673653083E0,1.944368774E-1,-4.071031512E0,-8.831816370E0,9.726874301E0
1.683635083E0,-3.805379641E-1,-3.763018610E0,-7.398766140E0,8.309443940E0
1.693616083E0,-7.316267189E-1,-3.494461258E0,-5.975889480E0,6.961163137E0
1.703597083E0,-7.455147332E-1,-3.197713309E0,-4.744682211E0,5.770023562E0
1.713579083E0,-5.292800206E-1,-3.122080452E0,-3.640866475E0,4.825290911E0
1.723560083E0,-2.765809017E-1,-2.990954302E0,-2.314407477E0,3.791937052E0
1.733542083E0,-3.377135414E-1,-2.714681548E0,-6.229816514E-1,2.805646536E0
1.743523083E0,-8.578295133E-1,-2.380037795E0,1.184677466E0,2.793548296E0
1.753505083E0,-1.192094659E0,-1.901093823E0,2.728478639E0,3.532682137E0
1.763486083E0,-1.847237751E0,-1.075245948E0,3.917749093E0,4.462868933E0
1.773468083E0,-2.715318018E0,-1.419206947E-1,4.186294166E0,4.991808516E0
1.783449083E0,-3.446195709E0,9.461981910E-1,4.023258006E0,5.381278738E0
1.793431083E0,-4.537744279E0,1.921926283E0,4.478801129E0,6.659172871E0
